Nr            TemperatureSW         x1         SW         x1         
              °C         L-Phase    L-Phase    V-Phase    V-Phase    
             1     77,710      1,358      1,086      1,358      1,086
             2     73,456      1,361      1,039      1,375      0,818
             3     70,023      1,365      0,976      1,383      0,692
             4     68,637      1,368      0,929      1,388      0,614
             5     67,306      1,371      0,881      1,391      0,567
             6     66,376      1,374      0,834      1,393      0,535
             7     65,268      1,380      0,740      1,396      0,488
             8     79,990      1,419      0,126      1,422      0,078
             9     75,685      1,422      0,078      1,416      0,173
            10     72,335      1,421      0,094      1,412      0,236
            11     69,659      1,421      0,094      1,409      0,283
            12     65,129      1,416      0,173      1,403      0,378
            13     64,298      1,407      0,315      1,401      0,409
                                                          
                                                          
                                                          
                                                          
RefraktometerK                                            
                                                          
x EtOH        SW                                          
             0     1,4232                                 
        0,0913     1,4198                                 
        0,1686     1,4161                                 
        0,2945     1,4098                                 
        0,4017     1,4037                                 
        0,4923     1,3982                                 
        0,6013     1,3912                                 
        0,6974     1,3844                                 
        0,7982     1,3772                                 
        0,9021      1,368                                 
             1     1,3592                                 
                                                          
                                                          
Steigung              ###                                 
Achsenabschnit        ###                                 
R²                 0,9869                                 
